fecha,anio,mes,periodo,sistema_abastecimiento,nivel_almacenamiento_pct,afluencias_m3s,precipitacion_mm,temperatura_c,consumo_m3s,irca,clasificacion_riesgo,municipio,departamento,latitud,longitud,cobertura_acueducto_pct,nivel_servicio,tipo_region,decision_racionamiento
2019-08-18,2019,8,2019-T3,N/A,44.9,5.54,,15.6,10.91,8.63,Bajo riesgo (5-14),Manizales,Caldas,5.0866,-75.5108,66.9,Continuo,Nacional,Sin restriccion
2019-03-20,2019,3,2019-T1,Sur,61.1,6.22,2.9,12.1,18.87,3.19,Sin riesgo (0-5),Funza,Cundinamarca,4.7265,-74.2064,93.6,Continuo,Regional,Sin restriccion
2025-09-03,2025,9,2025-T3,N/A,35.2,21.62,4.9,17.5,14.39,30.69,Alto riesgo (28-40),Cucuta,Norte de Santander,7.8978,-72.5067,88.2,Intermitente,Nacional,Sin restriccion
2023-05-03,2023,5,2023-T2,N/A,56.0,6.4,7.3,11.9,8.43,23.94,Riesgo medio (14-28),Manizales,Caldas,5.0889,-75.5176,62.6,Intermitente,Nacional,Sin restriccion
2025-09-01,2025,9,2025-T3,N/A,51.8,8.13,4.9,17.7,10.46,49.8,Inviabile sanitariamente (>40),Cartagena,Bolivar,10.3906,-75.5215,53.9,Continuo,Nacional,Sin restriccion
2020-10-13,2020,10,2020-T4,N/A,59.1,16.72,6.1,17.3,3.43,25.24,Riesgo medio (14-28),Manizales,Caldas,5.0959,-75.5347,98.3,Intermitente,Nacional,Sin restriccion
2019-09-11,2019,9,2019-T3,Sur,69.3,11.55,2.1,18.7,17.06,11.41,Bajo riesgo (5-14),Mosquera,Cundinamarca,4.7126,-74.2439,94.5,Continuo,Regional,Sin restriccion
2025-10-23,2025,10,2025-T4,Chingaza,55.7,17.73,2.5,15.0,16.32,4.93,Sin riesgo (0-5),Cajica,Cundinamarca,4.9124,-74.0216,92.9,Intermitente,Regional,Suspension temporal del racionamiento
2025-05-09,2025,5,2025-T2,Sur,70.0,9.51,2.7,13.1,20.15,3.47,Sin riesgo (0-5),Mosquera,Cundinamarca,4.7056,-74.2246,99.1,Racionado,Regional,Suspension temporal del racionamiento
2020-11-30,2020,11,2020-T4,N/A,62.2,13.89,8.3,11.9,5.96,46.85,Inviabile sanitariamente (>40),Valledupar,Cesar,10.4663,-73.2641,90.8,Continuo,Nacional,Sin restriccion
2021-10-03,2021,10,2021-T4,N/A,54.9,3.25,1.1,16.5,10.4,36.61,Alto riesgo (28-40),Bucaramanga,Santander,7.14,-73.1193,84.9,Continuo,Nacional,Sin restriccion
2019-08-21,2019,8,2019-T3,N/A,20.4,9.49,8.4,25.7,14.8,47.51,Inviabile sanitariamente (>40),Medellin,Antioquia,6.2128,-75.5285,76.2,Intermitente,Nacional,Sin restriccion
2024-07-16,2024,7,2024-T3,N/A,33.2,6.43,3.0,22.3,6.2,33.97,Alto riesgo (28-40),Tunja,Boyaca,5.5258,-73.3545,79.3,Continuo,Nacional,Sin restriccion
2021-01-24,2021,1,2021-T1,Tibitoc,54.6,17.53,3.7,13.2,19.0,12.21,Bajo riesgo (5-14),Madrid,Cundinamarca,4.7326,-74.249,93.6,Continuo,Regional,Sin restriccion
2021-11-07,2021,11,2021-T4,N/A,51.1,18.53,4.8,21.9,9.36,29.51,Alto riesgo (28-40),Manizales,Caldas,5.0591,-75.5109,100,Continuo,Nacional,Sin restriccion
2023-02-20,2023,2,2023-T1,N/A,77.2,8.8,0,16.4,4.0,24.48,Riesgo medio (14-28),Ibague,Tolima,4.4327,-75.2622,63.6,Continuo,Nacional,Sin restriccion
2020-04-15,2020,4,2020-T2,N/A,21.7,26.4,,17.9,6.01,28.3,Alto riesgo (28-40),Villavicencio,Meta,4.1509,-73.6392,80.7,Continuo,Nacional,Sin restriccion
2022-06-08,2022,6,2022-T2,N/A,45.2,26.49,5.3,,7.92,12.12,Bajo riesgo (5-14),Medellin,Antioquia,6.2765,-75.5453,78.7,Intermitente,Nacional,Sin restriccion
2024-08-12,2024,8,2024-T3,N/A,86.8,28.62,0.6,24.6,14.15,26.41,Riesgo medio (14-28),Pasto,Narino,1.2279,-77.2789,80.4,Intermitente,Nacional,Sin restriccion
2025-12-13,2025,12,2025-T4,N/A,91.6,27.93,1.8,10,4.95,33.44,Alto riesgo (28-40),Tunja,Boyaca,5.5223,-73.3609,68.5,Intermitente,Nacional,Sin restriccion
2019-07-12,2019,7,2019-T3,N/A,65.5,12.73,2.8,32.5,6.87,34.0,Alto riesgo (28-40),Pereira,Risaralda,4.8066,-75.6805,74.5,Intermitente,Nacional,Sin restriccion
