id,variable_o_campo,problema_resumen,accion_planeada,tipo_accion,dimension_que_mejora
P01,precipitacion_mm,Nulos: 765 registros (5.89%),"Imputacion por mediana estacional (mismo mes, misma region) en vez de un valor global fijo.",Tratamiento de valores nulos,Completitud
P02,temperatura_c,Nulos: 534 registros (4.11%),Imputacion por mediana mensual de la estacion mas cercana.,Tratamiento de valores nulos,Completitud
P03,irca,Nulos: 405 registros (3.12%),"No imputar: al ser la variable objetivo, los registros sin IRCA se excluyen de los analisis que dependen de ella y se marcan con una bandera irca_reportado = No, en vez de inventar un valor de riesgo.",Tratamiento de valores nulos (por exclusion),"Completitud, Exactitud"
P04,sistema_abastecimiento,Literal 'N/A': 5279 registros (40.64%),"Reemplazar el texto 'N/A' por un valor nulo estandar, y agregar una categoria explicita 'Fuera de cobertura EAAB' para no perder el significado original.",Estandarizacion de textos / tratamiento de nulos,"Completitud, Consistencia"
P07,Registro completo (20 variables),Duplicados: 63 registros (0.49%),"Eliminacion de duplicados exactos, usando la llave candidata fecha + municipio + sistema_abastecimiento para confirmarlos antes de borrar.",Eliminacion de duplicados,Unicidad
P08,irca,Valores negativos: 107 registros (0.82%),"Validacion de rango contra el dominio normativo (Res. 2115/2007, escala 0-100); los valores fuera de rango se marcan como invalidos y se excluyen del analisis en vez de recortarlos artificialmente.",Validacion de rangos,Validez
P09,fecha,Formato inconsistente: 136 registros (1.05%),"Parseo de los formatos alternos detectados (DD/MM/AAAA, MM-DD-AAAA, AAAA/MM/DD) y conversion a ISO 8601.",Estandarizacion de fechas,Consistencia
P10,municipio,Formato inconsistente: 212 registros (1.63%),"Normalizacion de texto (mayusculas/minusculas consistentes, remocion de espacios y caracteres no validos) y homologacion contra el catalogo oficial DANE.",Estandarizacion de textos / homologacion de categorias,"Consistencia, Unicidad"
P11,irca / clasificacion_riesgo,Incoherencia: 77 registros (0.59%),"Recalcular siempre clasificacion_riesgo a partir del irca numerico segun la Res. 2115/2007, en vez de mantenerlo como un campo independiente que se puede desincronizar.",Correccion de tipos de datos / regla derivada,Consistencia
P12,clasificacion_riesgo,Sin irca de respaldo: 265 registros (2.04%),"Igual que P11: la clasificacion deja de guardarse como texto libre y se deriva siempre del IRCA; si no hay IRCA, tampoco hay clasificacion.",Correccion de tipos de datos / regla derivada,Consistencia
P16,clasificacion_riesgo,Error ortografico: 1073 registros (8.26%),Correccion de la categoria mal escrita ('Inviabile' -> 'Inviable') en el catalogo cerrado de valores validos.,Homologacion de categorias,Exactitud
"P17, P18, P19","irca, cobertura_acueducto_pct, temperatura_c",Atipicos por rango intercuartilico (Tukey),"Marcar (no eliminar) los atipicos, y decidir caso por caso si corresponden a eventos reales (crisis de 2024, municipios apartados, diversidad climatica del pais) o a errores, antes de cualquier tratamiento. Estratificar por tipo_region y piso termico antes de calcular estadisticos.",Tratamiento justificado de valores atipicos,Exactitud
"P20, P21",fecha,"Actualidad: 252 dias de rezago general, 436 en el nivel global","Definir un proceso de actualizacion periodica alineado con la fuente mas lenta relevante para cada uso (mensual para EAAB/SIVICAP, anual para JMP).","Proceso de actualizacion (planeado, no una correccion puntual)",Actualidad
P22,Metadato ausente,Sin fecha_carga ni fuente_version en 20 columnas,"Incorporar columnas fecha_carga y fuente_version en el esquema, para poder auditar la vigencia de cada fuente de forma independiente.",Correccion de tipos de datos / diseno de esquema,Actualidad
"P05, P06, P13, P14, P15",Registros de tipo_region='Global',"Vacios estructurales, alcance desigual, mezcla de pais/municipio, definicion distinta de cobertura_acueducto_pct y fecha ficticia",No se homologan por correccion de dato: son consecuencia del diseno de integracion (punto 8). El tratamiento planeado es documental: separar tipo_region='Global' en su propio esquema en vez de forzarlo dentro del esquema diario municipal.,Rediseno de esquema (fuera de una correccion puntual),"Completitud, Consistencia"
